STOCK CODE,ISIN CODE,STOCK NAME,VALUE DATE,EVAL UPPER THRESHOLD YIELD,EVAL MID YIELD,EVAL LOWER THRESHOLD YIELD,EVAL LOWER THRESHOLD PRICE,EVAL MID PRICE,EVAL UPPER THRESHOLD PRICE,MODIFIED DURATION,CONVEXITY,EVAL UPPER THRESHOLD YIELD CHANGE,EVAL MID YIELD CHANGE,EVAL LOWER THRESHOLD YIELD CHANGE,EVAL LOWER THRESHOLD PRICE CHANGE,EVAL MID PRICE CHANGE,EVAL UPPER THRESHOLD PRICE CHANGE,COMPOSITE LIQUIDITY SCORE (T-1)
DW140008,MYBDW1400080,UNITAPAH 6.38% Series 35 10.06.2033,16-OCT-2020,3.807,3.746,3.685,125.634,126.338,127.047,9.003,103.392,.014,.011,.008,-.166,-.132,-.098,0
DW140007,MYBDW1400072,UNITAPAH 6.42% Series 36 12.12.2033,16-OCT-2020,3.855,3.794,3.733,126.266,126.992,127.724,9.248,109.667,.014,.011,.008,-.17,-.136,-.101,0
DX140006,MYBDX1400062,UNITAPAH 6.47% Series 37 12.06.2034,16-OCT-2020,3.899,3.838,3.777,127.015,127.764,128.518,9.478,115.848,.013,.01,.007,-.163,-.127,-.091,0
VI170384,MYBVI1703849,NORTHPORT IMTN 5.000% 02.12.2022,16-OCT-2020,3.323,3.241,3.159,103.415,103.586,103.757,1.98,5.052,.01,.01,.01,-.025,-.025,-.026,0
VN140415,MYBVN1404158,NORTHPORT IMTN 5.780% 19.12.2024,16-OCT-2020,3.548,3.471,3.394,108.585,108.897,109.21,3.663,16.263,.01,.01,.01,-.045,-.046,-.046,1.7
UE190368,MYBUE1903689,B LAND MTN 367D 17.12.2020,16-OCT-2020,2.648,2.601,2.554,100.202,100.21,100.218,.168,.056,-.011,-.011,-.011,-.001,-.001,-.001,2.3
UF190370,MYBUF1903702,B LAND MTN 729D 16.12.2021,16-OCT-2020,2.873,2.816,2.759,101.246,101.311,101.377,1.121,1.833,-.01,-.01,-.01,.009,.008,.008,0
UK140176,MYBUK1401764,B LAND MTN 2557D 16.12.2021,16-OCT-2020,2.864,2.817,2.77,102.826,102.881,102.936,1.112,1.815,-.009,-.009,-.009,.004,.004,.004,2
UE190369,MYBUE1903697,B LAND MTN 367D 17.12.2020,16-OCT-2020,2.307,2.25,2.193,100.191,100.2,100.21,.168,.056,-.011,-.011,-.011,-.001,-.002,-.002,0
PZ140060,MYBPZ1400608,DRB-HICOM 8.000% Perpetual Sukuk - Tranche No 2,16-OCT-2020,5.016,4.861,4.706,103.437,103.621,103.805,1.122,1.849,-.01,-.01,-.01,.005,.004,.003,1.3
VN140424,MYBVN1404240,SURIA KLCC IMTN 4.730% 31.12.2024 - Issue No. 1,16-OCT-2020,2.593,2.546,2.499,108.456,108.652,108.848,3.782,17.078,-.005,0,.005,.015,-.005,-.026,2.3
VI160110,MYBVI1601100,GAMUDA IMTN 4.620% 23.04.2021,16-OCT-2020,2.791,2.719,2.647,100.933,100.97,101.008,.5,.502,-.01,-.01,-.01,0,0,0,2
VE200079,MYBVE2000798,GAMUDA IMTN 3.200% 02.06.2021,16-OCT-2020,2.813,2.731,2.649,100.237,100.288,100.339,.611,.679,-.011,-.011,-.011,.006,.006,.006,0
VI170382,MYBVI1703823,GAMUDA IMTN 4.825% 23.11.2022,16-OCT-2020,3.056,2.979,2.902,103.569,103.728,103.888,1.959,4.953,.011,.011,.011,-.027,-.028,-.027,1.7
VI180087,MYBVI1800876,GAMUDA IMTN 4.785% 16.03.2023,16-OCT-2020,3.078,3.006,2.934,103.946,104.116,104.288,2.272,6.433,.012,.012,.012,-.033,-.034,-.033,2.7
VI180334,MYBVI1803342,GAMUDA IMTN 4.790% 27.11.2023,16-OCT-2020,3.142,3.065,2.988,104.845,105.078,105.312,2.839,9.891,.009,.009,.009,-.031,-.032,-.032,1.7
VK190235,MYBVK1902355,GAMUDA IMTN 4.117% 18.11.2026,16-OCT-2020,3.409,3.337,3.265,103.859,104.262,104.666,5.286,32.972,.005,.005,.005,-.03,-.03,-.03,2.7
VN190236,MYBVN1902367,GAMUDA IMTN 4.263% 16.11.2029,16-OCT-2020,3.667,3.595,3.523,104.565,105.134,105.706,7.407,65.621,-.001,-.001,-.001,.006,.007,.007,2
VN200096,MYBVN2000963,GAMUDA IMTN 4.100% 28.06.2030,16-OCT-2020,3.722,3.65,3.578,103.049,103.643,104.242,7.895,74.251,-.001,-.001,-.001,.007,.007,.008,2.3
VN150042,MYBVN1500427,PRASARANA IMTN 4.38% 24.03.2025 - Series 2,16-OCT-2020,2.279,2.239,2.199,108.822,108.999,109.176,4.046,19.226,-.032,-.032,-.032,.135,.136,.136,1.3
VS150043,MYBVS1500434,PRASARANA IMTN 4.64% 22.03.2030 - Series 3,16-OCT-2020,2.868,2.833,2.798,114.554,114.866,115.179,7.751,71.119,0,0,0,-.004,-.004,-.004,2
VZ200057,MYBVZ2000579,PRASARANA IMTN 3.90% 24.03.2045 - Series 4,16-OCT-2020,3.937,3.902,3.867,99.421,99.967,100.517,15.627,324.202,.01,.01,.01,-.155,-.157,-.158,2.3
UO150029,MYBUO1500294,ETERNAL ICON SENIOR CLASS MTN 4018D 31.3.2026 (S1),16-OCT-2020,3.076,3.019,2.962,104.28,104.417,104.555,2.306,6.609,0,0,0,-.004,-.005,-.005,0
UP150030,MYBUP1500309,ETERNAL ICON SENIOR CLASS MTN 4383D 31.3.2027 (S2),16-OCT-2020,3.229,3.172,3.115,105.74,105.931,106.123,3.165,12.021,.001,.001,.001,-.008,-.008,-.008,0
UQ150031,MYBUQ1500315,ETERNAL ICON SENIOR CLASS MTN 4749D 31.3.2028 (S3),16-OCT-2020,3.365,3.308,3.251,107.125,107.369,107.614,3.987,18.819,.006,.006,.006,-.029,-.03,-.03,0
UN170158,MYBUN1701589,RHBINVB MTN 3652D 11.10.2027,16-OCT-2020,3.01,2.928,2.846,103.617,103.778,103.939,1.89,4.575,.004,.004,.004,-.013,-.013,-.013,0
PN150017,MYBPN1500171,ISLAM 5.50% 15.12.2025 - Tranche 2,16-OCT-2020,2.624,2.514,2.404,100.459,100.477,100.495,.162,.053,-.036,-.036,-.036,-.002,-.002,-.003,2.3
PN170025,MYBPN1700250,ISLAM 5.08% 12.11.2027 - Tranche 3,16-OCT-2020,3.219,3.099,2.979,103.705,103.95,104.196,1.928,4.824,.005,.005,.005,-.015,-.015,-.015,0
VK150063,MYBVK1500639,PUTRAJAYA IMTN 4.25% 22.04.2022 - Series No. 1,16-OCT-2020,2.319,2.267,2.215,102.858,102.937,103.015,1.439,2.846,-.006,-.006,-.006,.004,.004,.004,1.7
VN150064,MYBVN1500641,PUTRAJAYA IMTN 4.40% 24.04.2025 - Series No. 2,16-OCT-2020,2.655,2.608,2.561,107.387,107.594,107.803,4.032,19.421,.007,.007,.007,-.035,-.036,-.035,2.3
VN160271,MYBVN1602710,PUTRAJAYA IMTN 07.09.2026 - Series No. 3,16-OCT-2020,2.797,2.75,2.703,107.491,107.756,108.021,5.218,31.724,.011,.011,.011,-.065,-.065,-.066,2
VI160021,MYBVI1600219,CENDANA IMTN Tranche 2 5.500% 19.02.2021,16-OCT-2020,17.968,17.548,17.128,95.942,96.073,96.204,.322,.207,-.005,-.005,-.005,.031,.03,.029,0
VK150065,MYBVK1500654,CENDANA IMTN Tranche 1 5.650% 22.04.2022,16-OCT-2020,20.162,19.742,19.322,81.821,82.281,82.745,1.294,2.348,-.001,-.001,-.001,.03,.029,.029,0
VL160149,MYBVL1601492,CENDANA IMTN Tranche 3 5.900% 24.05.2024,16-OCT-2020,21.636,21.216,20.796,61.94,62.697,63.465,2.791,9.947,-.001,-.001,-.001,.021,.022,.021,0
UN170146,MYBUN1701464,RHBBANK MTN 3652D 27.9.2027,16-OCT-2020,2.844,2.762,2.68,103.717,103.875,104.034,1.854,4.426,.004,.004,.004,-.013,-.014,-.013,0
UN200105,MYBUN2001054,RHBBANK MTN 3652D 28.5.2030,16-OCT-2020,3.094,3.017,2.94,101.091,101.422,101.755,4.199,20.671,.005,.005,.005,-.022,-.022,-.022,1.7
VK160234,MYBVK1602344,JAMB.KEDUA IMTN 3.910% 28.07.2023,16-OCT-2020,2.112,2.077,2.042,104.829,104.926,105.023,2.618,8.375,-.005,-.005,-.005,.01,.01,.01,2.3
VN150103,MYBVN1501037,JAMB.KEDUA IMTN 4.300% 28.05.2025,16-OCT-2020,2.356,2.321,2.286,108.45,108.609,108.769,4.141,20.345,.002,.002,.002,-.013,-.014,-.014,2
VN160235,MYBVN1602355,JAMB.KEDUA IMTN 4.200% 28.07.2026,16-OCT-2020,2.496,2.461,2.426,109.117,109.314,109.512,5.118,30.641,-.003,-.003,-.003,.013,.013,.013,2
VS150104,MYBVS1501044,JAMB.KEDUA IMTN 4.520% 28.05.2030,16-OCT-2020,2.886,2.846,2.806,113.63,113.99,114.352,7.8,72.872,.016,.016,.016,-.147,-.148,-.149,1.3
