STOCK CODE,ISIN CODE,STOCK NAME,VALUE DATE,EVAL UPPER THRESHOLD YIELD,EVAL MID YIELD,EVAL LOWER THRESHOLD YIELD,EVAL LOWER THRESHOLD PRICE,EVAL MID PRICE,EVAL UPPER THRESHOLD PRICE,MODIFIED DURATION,CONVEXITY,EVAL UPPER THRESHOLD YIELD CHANGE,EVAL MID YIELD CHANGE,EVAL LOWER THRESHOLD YIELD CHANGE,EVAL LOWER THRESHOLD PRICE CHANGE,EVAL MID PRICE CHANGE,EVAL UPPER THRESHOLD PRICE CHANGE,COMPOSITE LIQUIDITY SCORE (T-1)
VO180373,MYBVO1803738,DHSB IMTN Series 3 6.300% 21.12.2029,5-Nov-20,4.997,4.932,4.867,109.448,109.948,110.45,6.868,59.071,0.043,0.043,0.043,-0.332,-0.334,-0.337,2.7
VP180374,MYBVP1803743,DHSB IMTN Series 4 6.350% 21.06.2030,5-Nov-20,5.056,4.981,4.906,109.758,110.36,110.965,7.138,64.201,0.037,0.037,0.037,-0.299,-0.3,-0.303,0
VP180375,MYBVP1803750,DHSB IMTN Series 5 6.400% 20.12.2030,5-Nov-20,5.091,5.031,4.971,110.247,110.748,111.251,7.397,69.366,0.031,0.031,0.031,-0.26,-0.262,-0.264,3
VQ180376,MYBVQ1803766,DHSB IMTN Series 6 6.450% 20.06.2031,5-Nov-20,5.147,5.082,5.017,110.552,111.115,111.681,7.648,74.632,0.026,0.026,0.026,-0.227,-0.228,-0.23,2.7
VQ180377,MYBVQ1803774,DHSB IMTN Series 7 6.500% 19.12.2031,5-Nov-20,5.211,5.146,5.081,110.768,111.349,111.934,7.885,79.869,0.022,0.022,0.022,-0.198,-0.2,-0.201,2.7
VR180378,MYBVR1803780,DHSB IMTN Series 8 6.550% 21.06.2032,5-Nov-20,5.291,5.216,5.141,110.82,111.511,112.208,8.118,85.246,0.019,0.019,0.019,-0.176,-0.178,-0.179,0
VR180379,MYBVR1803798,DHSB IMTN Series 9 6.600% 21.12.2032,5-Nov-20,5.35,5.275,5.2,111.038,111.75,112.467,8.34,90.581,0.017,0.017,0.017,-0.163,-0.164,-0.165,0
VS180380,MYBVS1803804,DHSB IMTN Series 10 6.650% 21.06.2033,5-Nov-20,5.407,5.342,5.277,111.259,111.892,112.53,8.55,95.89,0.016,0.016,0.016,-0.157,-0.158,-0.16,2.7
VE200062,MYBVE2000624,DANUM IMTN 2.640% 16.04.2021 - Tranche 6,5-Nov-20,2.154,2.106,2.058,100.213,100.234,100.255,0.441,0.389,0.049,0.049,0.049,-0.023,-0.024,-0.024,0
VH190095,MYBVH1900959,DANUM IMTN 3.960% 09.05.2023 - Tranche 3,5-Nov-20,2.497,2.459,2.421,103.534,103.627,103.721,2.34,6.86,0.077,0.077,0.077,-0.194,-0.195,-0.195,2.3
VI200010,MYBVI2000104,DANUM IMTN 3.070% 21.02.2025 - Tranche 4,5-Nov-20,2.685,2.647,2.609,101.548,101.703,101.858,3.979,18.456,0.079,0.079,0.079,-0.323,-0.324,-0.324,2.3
VI200068,MYBVI2000682,DANUM IMTN 2.970% 13.05.2025 - Tranche 7,5-Nov-20,2.709,2.671,2.633,101.102,101.264,101.426,4.148,20.138,0.079,0.079,0.079,-0.338,-0.338,-0.339,2.7
VK190031,MYBVK1900318,DANUM IMTN 4.300% 13.02.2026 - Tranche 1,5-Nov-20,2.8,2.762,2.724,107.298,107.491,107.685,4.686,25.793,0.081,0.081,0.081,-0.416,-0.417,-0.417,2
VK200069,MYBVK2000696,DANUM IMTN 3.140% 13.05.2027 - Tranche 8,5-Nov-20,2.892,2.854,2.816,101.463,101.69,101.917,5.781,38.76,0.089,0.089,0.089,-0.532,-0.533,-0.534,2.7
VN200070,MYBVN2000708,DANUM IMTN 3.290% 13.05.2030 - Tranche 9,5-Nov-20,3.137,3.099,3.061,101.25,101.563,101.878,8.01,75.176,0.059,0.059,0.059,-0.488,-0.49,-0.491,2.7
VS190032,MYBVS1900329,DANUM IMTN 4.680% 14.02.2034 - Tranche 2,5-Nov-20,3.445,3.407,3.369,113.062,113.496,113.933,10,123.059,0.026,0.026,0.026,-0.299,-0.301,-0.302,2.3
VS200011,MYBVS2000111,DANUM IMTN 3.420% 21.02.2035 - Tranche 5,5-Nov-20,3.521,3.483,3.445,98.87,99.292,99.716,11.137,149.277,0.021,0.021,0.021,-0.233,-0.234,-0.236,2.3
VN190050,MYBVN1900502,PTPTN IMTN 4.270% 01.03.2029,5-Nov-20,2.904,2.878,2.852,110.031,110.233,110.435,7.013,57.796,0.088,0.088,0.088,-0.689,-0.69,-0.693,2.3
VS190049,MYBVS1900493,PTPTN IMTN 4.580% 28.02.2034,5-Nov-20,3.382,3.356,3.33,112.76,113.058,113.358,10.098,124.936,0.029,0.029,0.029,-0.335,-0.337,-0.337,2.3
VX190048,MYBVX1900485,PTPTN IMTN 4.800% 01.03.2039,5-Nov-20,3.735,3.704,3.673,114.035,114.48,114.928,12.495,201.194,0.021,0.021,0.021,-0.303,-0.305,-0.306,1.7
PZ190001,MYBPZ1900011,IJM LAND 5.650% PERPETUAL SUKUK MUSHARAKAH -S1 T1,5-Nov-20,4.798,4.668,4.538,103.986,104.612,105.242,4.587,25.148,0.016,0.016,0.016,-0.079,-0.079,-0.081,2.7
PZ190002,MYBPZ1900029,IJM LAND 5.730% PERPETUAL SUKUK MUSHARAKAH -S1 T2,5-Nov-20,4.879,4.754,4.629,104.606,105.305,106.009,5.293,33.613,0.018,0.018,0.018,-0.102,-0.103,-0.104,3
PZ190013,MYBPZ1900136,IJM LAND 4.730% PERPETUAL SUKUK MUSHARAKAH -S2 T3,5-Nov-20,4.953,4.813,4.673,98.705,99.513,100.328,5.792,39.735,0.02,0.02,0.02,-0.115,-0.115,-0.117,0
VN190059,MYBVN1900593,MNRB HLDGS IMTN 5.200% 22.03.2029,5-Nov-20,4.029,3.919,3.809,103.661,104.013,104.367,3.07,11.397,0.029,0.029,0.029,-0.095,-0.097,-0.098,2
VF200146,MYBVF2001462,STSSB IMTN Series 1 3.250% 17.01.2022,5-Nov-20,3.112,3.037,2.962,100.158,100.245,100.333,1.155,1.92,0.022,0.022,0.022,-0.026,-0.027,-0.027,0
VG200144,MYBVG2001445,STSSB IMTN Series 3 3.450% 17.07.2023,5-Nov-20,3.311,3.236,3.161,100.352,100.545,100.738,2.531,7.858,0.043,0.043,0.043,-0.111,-0.111,-0.112,0
VG200145,MYBVG2001452,STSSB IMTN Series 2 3.450% 17.07.2023,5-Nov-20,3.311,3.236,3.161,100.352,100.545,100.738,2.531,7.858,0.043,0.043,0.043,-0.111,-0.111,-0.112,0
VG190063,MYBVG1900639,ZAMARAD ABS-IMTN 25.03.2022 (Class A - Series 2),5-Nov-20,2.729,2.681,2.633,102.663,102.73,102.796,1.336,2.471,0.05,0.05,0.05,-0.075,-0.074,-0.075,0
VI190064,MYBVI1900643,ZAMARAD ABS-IMTN 27.03.2024 (Class A - Series 3),5-Nov-20,3.007,2.969,2.931,105.9,106.026,106.152,3.116,11.684,0.075,0.075,0.075,-0.254,-0.254,-0.255,2.3
VK190065,MYBVK1900656,ZAMARAD ABS-IMTN 27.03.2026 (Class A - Series 4),5-Nov-20,3.245,3.197,3.149,108.616,108.864,109.112,4.725,26.35,0.077,0.077,0.077,-0.402,-0.403,-0.405,0
